Author & Year,DOI,Source Type,Catalyst,# Forms.,Burn. Rate,Therm. Data,Isp,Comb.Temp,HoC,Qual,Complete,Conditions,Method,Uncertainty,Location,Notes
Aziz 2015,10.4028/www.scientific.net/AMM.773-774.470,information,,,,,,,,,,,,,,
Azizi 2025,10.37934/arefmht.18.1.94105,technical,"Mg, Fe2O3",,,,,,,,,,,,,
Boukeciat 2025,10.1016/j.fpc.2025.02.004,,,,,,,,,,,,,,,
Cang 2023,10.1016/j.combustflame.2023.113108,information,,,,,,,,,,,,,,
Chandrababu 2023,10.1007/s10973-023-12386-9,technical,"Fe, Co, Ni, Cu, Zn",,,,,,,,,,,,,
Chaturvedi 2023,10.1016/j.arabjc.2014.12.033,,,,,,,,,,,,,,,
Chu 2023,10.1021/acs.jpcc.3c01666,information,,,,,,,,,,,,,,
Guo 2024,10.3390/molecules29112680,information,,,,,,,,,,,,,,
Guo 2025,10.3390/solids6020027,,,,,,,,,,,,,,,
Hosseini 2019,10.1007/ss10973-019-08266-w,technical,CuCr2O4,,,,,,,,,,,,,
Li 2022,10.1007/s10973-022-11310-x,information,,,,,,,,,,,,,,
Peng 2025,10.3390/ma18132928,technical,,,,,,,,,,,,,,
Saha 2024,10.1007/s10973-024-13395-y,information,,,,,,,,,,,,,,
Sivadas 2019,10.1007/s10973-019-08209-5,information?,CuO,,,,,,,,,,,,,
Song 2008,10.1002/prep.200800222,technical?,Zn,,,,,,,,,,,,,
Wang 2025,10.3390/catal15040354,technical,,,,,,,,,,,,,,
Yadav 2025,10.1016/j.dt/2020.06.007,technical,,,,,,,,,,,,,,
Yaman 2014,10.1016/j.fuel/2013.05.033,information,Al?,,,,,,,,,,,,,
Zhou 2025,10.1016/j.apt.2025.104865,technical,Fe5B,,,,,,,,,,,,,
Zongxue 2009,10.1016/S1872-2067(08)60087-X,technical,CoC2O4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
